╭───────────────────────────────────────────────────────────╮
│                          Before                           │
╰───────────────────────────────────────────────────────────╯
Extra options: []
Measured: 10 times

Total Average: 127.092300 msec
Total Max:     200.622000 msec
Total Min:     112.730000 msec

   AVERAGE        MAX        MIN
---------------------------------
119.165300 192.420000 105.513000: /Users/okamotonaofumi/.config/nvim/init.lua
 18.739600  21.597000  16.450000: /Users/okamotonaofumi/.local/share/nvim/lazy/render-markdown.nvim/plugin/render-markdown.lua
  9.487600  18.471000   2.007000: require('cmp')
  8.313846  50.136000   1.006000: require('nvim-web-devicons')
  6.635600  51.019000   0.884000: require('spectre')
  5.580400  50.203000   0.056000: require('spectre.ui')
  5.039812   6.774000   3.612000: require('telescope._extensions.gh')
  4.800352  13.337000   0.260000: require('telescope')
  4.324500   4.898000   3.547000: require('telescope._extensions.gh_builtin')
  3.144900   4.529000   2.600000: /Users/okamotonaofumi/.local/share/nvim/lazy/LuaSnip/plugin/luasnip.lua
  3.092000   3.740000   2.332000: require('luasnip.loaders.from_vscode')
  2.865600   3.169000   1.038000: /Users/okamotonaofumi/.local/share/nvim/lazy/everforest-nvim/colors/everforest.lua
  2.636000   3.267000   1.992000: require('luasnip.util.parser')
  2.607000   3.339000   1.620000: /Users/okamotonaofumi/.local/share/nvim/lazy/nvim-treesitter/plugin/nvim-treesitter.lua
  2.496181   3.837000   1.401000: require('nvim-treesitter')
  2.138100   2.440000   1.800000: require('cmp.core')
  2.080100   2.902000   1.837000: /Users/okamotonaofumi/.local/share/nvim/lazy/dial.nvim/plugin/dial.vim
  2.047700   2.274000   1.835000: require('config')
  2.041100   2.669000   1.163000: require('nvim-treesitter.install')
  2.029200   6.270000   1.124000: require('barbar')
  1.994800   2.723000   1.131000: require('telescope.config')
  1.978000   2.818000   1.728000: require('dial.map')
  1.907000   3.304000   1.216000: require('neotest.consumers')
  1.744200   1.875000   1.685000: reading ShaDa
  1.705200   2.690000   1.251000: require('fidget')
  1.689600   2.593000   1.415000: require('dial.command')
  1.652700   2.884000   1.301000: require('luasnip')
  1.637937   4.472000   0.177000: require('lspconfig.util')
  1.597545   4.774000   0.413000: require('nvim-treesitter.parsers')
  1.567100   2.437000   1.305000: require('dial.config')
  1.443700   1.694000   1.259000: require('config.keymaps')
  1.442600   2.339000   1.216000: require('dial.augend')
  1.427500   2.164000   1.060000: /Users/okamotonaofumi/.local/share/nvim/lazy/yanky.nvim/plugin/init.lua
  1.423700   3.157000   1.123000: require('neotest')
  1.413100   5.387000   0.316000: require('syntax-tree-surfer')
  1.396700   3.447000   0.568000: /Users/okamotonaofumi/.local/share/nvim/lazy/copilot.vim/autoload/copilot.vim
  1.393100   1.956000   0.948000: /Users/okamotonaofumi/.local/share/nvim/lazy/hop.nvim/plugin/hop.lua
  1.392000   5.932000   0.730000: require('vim.lsp')
  1.382200   1.846000   0.896000: require('luasnip.nodes.snippet')
  1.379900   1.866000   1.210000: require('telescope.previewers')
  1.361400   6.854000   0.389000: require('lspsaga.symbol.head')
  1.312300   1.793000   0.550000: require('frecency.database')
  1.308700   3.265000   0.830000: require('barbar.api')
  1.303000   1.486000   1.060000: expanding arguments
  1.248200   1.983000   0.925000: require('telescope.actions')
  1.226900   2.197000   0.933000: /Users/okamotonaofumi/.local/share/nvim/lazy/diffview.nvim/plugin/diffview.lua
  1.178600   2.128000   0.898000: require('diffview.bootstrap')
  1.125900   5.288000   0.503000: /Users/okamotonaofumi/.local/share/nvim/lazy/nvim-ts-autotag/plugin/nvim-ts-autotag.lua
  1.094500   2.189000   0.781000: require('fidget.progress')
  1.087300   1.582000   0.353000: require('frecency.v1.database')
  1.062800   2.689000   0.517000: require('nvim-web-devicons.icons-default')
  1.062600   1.272000   0.874000: require('luasnip.util.parser.ast_parser')
  1.049300   1.472000   0.906000: require('telescope.previewers.buffer_previewer')
  0.965800   2.143000   0.681000: require('nio')
  0.930100   5.050000   0.257000: require('indent-o-matic')
  0.901500   2.320000   0.316000: require('neotest.consumers.benchmark')
  0.890400   2.152000   0.570000: require('barbar.bbye')
  0.880500   1.196000   0.774000: require('plenary.scandir')
  0.860500   5.104000   0.052000: require('nvim-treesitter.ts_utils')
  0.853600   0.947000   0.806000: /opt/homebrew/Cellar/neovim/0.10.2_1/share/nvim/runtime/plugin/matchit.vim
  0.849900   2.274000   0.268000: require('plenary.profile')
  0.849300   1.615000   0.257000: /Users/okamotonaofumi/.local/share/nvim/lazy/nvim-lspconfig/plugin/lspconfig.lua
  0.832000   1.763000   0.561000: require('chowcho')
  0.829500   0.896000   0.775000: require('sqlite.db')
  0.820300   2.025000   0.516000: require('barbar.state')
  0.810700   1.614000   0.600000: /Users/okamotonaofumi/.local/share/nvim/lazy/vim-illuminate/plugin/illuminate.vim
  0.803900   1.356000   0.574000: require('telescope.pickers')
  0.799100   2.230000   0.221000: require('plenary.profile.p')
  0.793800   0.985000   0.651000: require('mason')
  0.751600   1.741000   0.413000: require('colorizer')
  0.744600   1.116000   0.094000: require('frecency.v1.table')
  0.735500   2.175000   0.155000: require('jit.vmdef')
  0.731700   1.167000   0.443000: require('luasnip.nodes.util.trig_engines')
  0.728100   0.907000   0.655000: require('render-markdown.core.ui')
  0.725200   4.509000   0.220000: require('git')
  0.712900   1.331000   0.512000: require('luasnip.config')
  0.712600   1.249000   0.479000: require('yanky')
  0.710200   0.871000   0.642000: /Users/okamotonaofumi/.local/share/nvim/lazy/nvim-cmp/plugin/cmp.lua
  0.696100   1.451000   0.486000: require('gitsigns')
  0.695200   0.775000   0.648000: require('sqlite.defs')
  0.691600   1.388000   0.468000: require('nvim-ts-autotag')
  0.681200   0.752000   0.611000: require('everforest')
  0.681100   1.025000   0.047000: require('frecency.wait')
  0.679900   0.797000   0.568000: require('luasnip.util.parser.ast_utils')
  0.677800   1.488000   0.409000: require('toggleterm')
  0.673400   0.940000   0.472000: require('plenary.async')
  0.666300   1.196000   0.516000: require('neotest-jest')
  0.663200   0.898000   0.434000: /Users/okamotonaofumi/.local/share/nvim/lazy/Comment.nvim/plugin/Comment.lua
  0.660600   1.159000   0.427000: require('git-conflict')
  0.649300   0.672000   0.632000: inits 3
  0.636800   1.024000   0.452000: require('neoscroll')
  0.631200   0.940000   0.436000: require('vim.treesitter')
  0.597500   1.197000   0.445000: require('lazy.view.commands')
  0.597200   0.957000   0.337000: require('telescope.sorters')
  0.597000   0.682000   0.505000: require('cmp.view')
  0.592300   0.964000   0.443000: require('telescope.finders')
  0.588500   1.260000   0.424000: require('dial.augend.date')
  0.587900   1.025000   0.477000: require('lualine')
  0.585000   1.091000   0.444000: require('illuminate.engine')
  0.582300   0.727000   0.485000: require('telescope-all-recent')
  0.578100   0.733000   0.445000: require('vim.filetype')
  0.562800   0.802000   0.316000: require('Comment.api')
  0.560500   1.486000   0.191000: require('nvim-web-devicons.default.icons_by_file_extension')
  0.556000   0.969000   0.406000: require('windows')
  0.547100   1.036000   0.393000: require('diffview.logger')
  0.545500   1.111000   0.335000: require('luasnip.util.jsregexp')
  0.541200   0.877000   0.393000: require('todo-comments')
  0.515400   1.079000   0.388000: require('lazy.manage')
  0.514400   1.111000   0.357000: require('luasnip.loaders')
  0.508500   0.853000   0.289000: /Users/okamotonaofumi/.local/share/nvim/lazy/auto-indent.nvim/plugin/auto-indent.lua
  0.503300   0.833000   0.399000: require('luasnip.util.environ')
  0.495900   1.509000   0.347000: require('spectre.state_utils')
  0.495200   0.732000   0.374000: require('nvim-treesitter.info')
  0.494700   0.727000   0.375000: require('vim.treesitter.languagetree')
  0.486900   0.682000   0.339000: require('close_buffers')
  0.476200   0.713000   0.351000: BufEnter autocommands
  0.475000   2.138000   0.211000: require('vim.lsp.util')
  0.456700   0.817000   0.308000: require('windows.lib.resize-windows-animated')
  0.449500   0.564000   0.325000: /Users/okamotonaofumi/.local/share/nvim/lazy/vim-doge/plugin/doge.vim
  0.445200   0.529000   0.340000: require('lazy.core.loader')
  0.430300   0.668000   0.362000: require('render-markdown.state')
  0.425400   0.639000   0.319000: require('nvim-treesitter.configs')
  0.424900   1.185000   0.310000: require('nvim-ts-autotag.internal')
  0.421400   0.913000   0.311000: require('lazy.manage.runner')
  0.414000   1.213000   0.080000: require('render-markdown')
  0.412300   0.513000   0.337000: require('mason-core.platform')
  0.404200   0.524000   0.249000: /Users/okamotonaofumi/.local/share/nvim/lazy/dressing.nvim/plugin/dressing.lua
  0.397400   0.679000   0.081000: require('plenary.strings')
  0.395500   0.595000   0.257000: require('lspkind')
  0.389300   0.442000   0.330000: require('telescope._extensions.fzf')
  0.384300   0.439000   0.317000: require('cmp.utils.async')
  0.379600   0.516000   0.323000: require('fidget.progress.handle')
  0.379100   0.543000   0.257000: require('vim.diagnostic')
  0.369800   0.466000   0.221000: require('dressing')
  0.367800   0.483000   0.296000: require('mason-registry')
  0.359800   0.663000   0.272000: require('luasnip.util._builtin_vars')
  0.355300   1.354000   0.167000: require('barbar.events')
  0.354900   0.465000   0.211000: require('lspsaga')
  0.352900   0.415000   0.317000: sourcing vimrc file(s)
  0.348400   0.581000   0.178000: require('plenary.path')
  0.346700   1.219000   0.180000: require('fidget.progress.lsp')
  0.346200   0.738000   0.228000: require('barbar.buffer')
  0.339900   0.504000   0.256000: require('nvim-treesitter.query')
  0.339000   0.541000   0.231000: require('plenary.async.async')
  0.336200   0.687000   0.225000: require('windows.autowidth')
  0.335700   0.552000   0.203000: require('hop')
  0.328200   0.493000   0.149000: require('auto-indent.utils')
  0.327500   0.405000   0.299000: require('vim._defaults')
  0.324900   0.449000   0.272000: require('fidget.notification')
  0.324700   0.489000   0.201000: require('neo-tree')
  0.323900   0.518000   0.154000: require('mason-lspconfig')
  0.323300   0.410000   0.233000: require('cmp.source')
  0.318000   0.368000   0.261000: require('cmp.config')
  0.316900   0.414000   0.264000: require('neotest.client')
  0.316300   0.460000   0.242000: require('chowcho.selector')
  0.310400   0.525000   0.219000: require('vim.lsp.protocol')
  0.308000   0.345000   0.276000: require('everforest.highlights')
  0.307900   0.538000   0.224000: require('vim.treesitter.query')
  0.299300   1.838000   0.091000: require('vim.lsp._snippet_grammar')
  0.297700   0.532000   0.228000: /Users/okamotonaofumi/.local/share/nvim/lazy/cmp-buffer/after/plugin/cmp_buffer.lua
  0.296500   0.952000   0.199000: require('spectre.search')
  0.295200   0.368000   0.132000: require('telescope.utils')
  0.295100   0.530000   0.211000: require('fidget.progress.display')
  0.294800   0.330000   0.252000: require('fzf_lib')
  0.290000   0.338000   0.248000: require('cmp.types')
  0.287600   0.714000   0.102000: require('cmp_nvim_lsp')
  0.278200   0.375000   0.225000: require('plenary.popup')
  0.275200   0.455000   0.191000: require('plenary.async.tests')
  0.274200   0.669000   0.182000: require('lazy.manage.task')
  0.271900   0.670000   0.195000: require('illuminate.highlight')
  0.266000   0.591000   0.199000: require('luasnip.session')
  0.263300   0.560000   0.162000: require('windows.calculate-layout')
  0.258300   0.342000   0.176000: require('cmp.entry')
  0.253400   0.475000   0.196000: require('cmp_buffer')
  0.250200   1.002000   0.106000: require('barbar.highlight')
  0.245300   0.339000   0.211000: require('neotest.consumers.summary')
  0.244500   0.267000   0.238000: /opt/homebrew/Cellar/neovim/0.10.2_1/share/nvim/runtime/syntax/syntax.vim
  0.243600   0.276000   0.219000: require('config.base')
  0.238700   0.887000   0.151000: require('spectre.search.base')
  0.237900   0.544000   0.167000: require('diffview.async')
  0.236600   0.301000   0.199000: require('render-markdown.core.context')
  0.235700   0.296000   0.179000: require('lazy.core.plugin')
  0.235600   0.423000   0.168000: require('sqlite.parser')
  0.234800   0.806000   0.154000: require('nvim-ts-autotag.config.plugin')
  0.234200   0.402000   0.186000: require('luasnip.session.snippet_collection')
  0.231500   0.436000   0.172000: require('nio.lsp')
  0.231100   0.416000   0.176000: require('mason.api.command')
  0.230000   0.671000   0.142000: require('barbar.ui.layout')
  0.225600   1.386000   0.068000: require('vim.lsp.rpc')
  0.219200   0.305000   0.167000: require('telescope.finders.async_oneshot_finder')
  0.217700   1.029000   0.103000: require('vim.lsp._changetracking')
  0.215700   0.373000   0.146000: require('plenary.async.util')
  0.211300   0.354000   0.137000: require('plenary.vararg')
  0.210900   0.268000   0.107000: opening buffers
  0.210400   0.519000   0.148000: require('luasnip.default_config')
  0.209000   0.477000   0.121000: require('gitsigns.highlight')
  0.207500   0.423000   0.138000: require('barbar.config')
  0.204000   0.268000   0.170000: require('telescope.previewers.term_previewer')
  0.203700   0.409000   0.141000: require('telescope.log')
  0.198800   0.293000   0.148000: require('hop.hint')
  0.196500   0.355000   0.143000: require('windows.config')
  0.195200   0.705000   0.107000: require('plenary.job')
  0.193900   0.343000   0.148000: require('cmp_buffer.source')
  0.192400   0.604000   0.103000: require('luasnip.nodes.node')
  0.192100   0.245000   0.153000: require('frecency.config')
  0.190200   0.226000   0.163000: require('cmp.view.docs_view')
  0.189800   0.244000   0.159000: locale set
  0.189000   0.265000   0.148000: require('cmp.utils.feedkeys')
  0.188500   0.336000   0.148000: require('toggleterm.config')
  0.187800   0.410000   0.124000: require('luasnip.loaders.util')
  0.186200   0.274000   0.157000: require('neotest.consumers.summary.summary')
  0.185300   0.197000   0.167000: init lua interpreter
  0.183700   0.240000   0.147000: require('mason-core.fs')
  0.183400   0.225000   0.150000: require('lspconfig')
  0.181400   0.569000   0.099000: require('barbar.ui.render')
  0.179800   0.407000   0.144000: require('render-markdown.command')
  0.177100   0.237000   0.129000: require('telescope-all-recent.override')
  0.174900   0.438000   0.070000: require('gitsigns.config')
  0.174800   0.269000   0.129000: require('mason-lspconfig.mappings.server')
  0.174200   0.219000   0.147000: require('luasnip.nodes.util')
  0.173400   0.239000   0.148000: require('frecency.v2.database')
  0.173200   0.194000   0.159000: inits 1
  0.171900   0.458000   0.100000: require('nvim-web-devicons.default.icons_by_filename')
  0.171500   0.222000   0.145000: require('fidget.integration')
  0.170600   0.415000   0.112000: /Users/okamotonaofumi/.local/share/nvim/lazy/vim-endwise/plugin/endwise.vim
  0.169900   0.247000   0.124000: require('telescope.actions.set')
  0.169000   0.374000   0.106000: require('animation')
  0.168100   0.188000   0.148000: require('telescope-all-recent.frecency')
  0.166600   0.227000   0.145000: require('render-markdown.config')
  0.166300   0.248000   0.138000: require('dial.augend.case')
  0.164200   0.320000   0.123000: require('nio.logger')
  0.163600   0.645000   0.096000: require('nvim-ts-autotag.config.ft')
  0.163100   0.403000   0.101000: require('fidget.spinner')
  0.162600   0.561000   0.095000: require('barbar.icons')
  0.161200   0.270000   0.109000: require('dial.augend.constant')
  0.160600   0.194000   0.123000: require('plugin_manager')
  0.160200   0.219000   0.116000: require('Comment.utils')
  0.159800   0.228000   0.122000: require('lazy.core.meta')
  0.158600   0.401000   0.083000: require('nio.uv')
  0.154400   0.288000   0.120000: require('neotest.logging')
  0.154300   0.218000   0.105000: require('telescope.entry_manager')
  0.148400   0.176000   0.104000: require('lazy.stats')
  0.148300   0.277000   0.096000: require('plenary.async.control')
  0.146400   0.212000   0.109000: require('telescope._')
  0.144700   0.255000   0.065000: require('lazy.core.handler.ft')
  0.143600   0.326000   0.053000: require('ts_context_commentstring.integrations.comment_nvim')
  0.142600   0.492000   0.095000: require('spectre.replace')
  0.140900   0.170000   0.127000: require('vim.loader')
  0.137500   0.258000   0.108000: require('lspsaga.highlight')
  0.135800   0.231000   0.098000: require('telescope.make_entry')
  0.135200   0.166000   0.106000: require('nvim-treesitter.incremental_selection')
  0.135000   0.228000   0.090000: require('plenary.vararg.rotate')
  0.134900   0.217000   0.098000: require('close_buffers.buffers')
  0.133500   0.170000   0.107000: require('telescope.pickers.entry_display')
  0.133300   0.282000   0.098000: require('auto-indent')
  0.132900   0.176000   0.105000: require('cmp.types.lsp')
  0.132800   0.338000   0.063000: require('windows.lib.frame')
  0.132300   0.278000   0.051000: require('cmp_nvim_lsp.source')
  0.131300   0.232000   0.099000: require('cmp_buffer.buffer')
  0.131200   0.225000   0.106000: require('todo-comments.config')
  0.130100   0.264000   0.049000: require('plenary.bit')
  0.130000   0.437000   0.058000: require('colorizer/nvim')
  0.129100   0.137000   0.126000: /opt/homebrew/Cellar/neovim/0.10.2_1/share/nvim/runtime/plugin/netrwPlugin.vim
  0.128500   0.154000   0.108000: require('cmp.utils.str')
  0.128200   0.342000   0.097000: require('render-markdown.api')
  0.127900   0.230000   0.095000: require('neotest.lib')
  0.127800   0.249000   0.089000: /Users/okamotonaofumi/.local/share/nvim/lazy/cmp-path/after/plugin/cmp_path.lua
  0.127100   0.146000   0.108000: require('cmp.utils.window')
  0.127100   0.176000   0.097000: require('telescope._extensions.frecency')
  0.127100   0.200000   0.096000: require('chowcho.selector.float')
  0.126900   0.150000   0.102000: require('nvim-treesitter.tsrange')
  0.126800   0.203000   0.081000: require('diffview.utils')
  0.126400   0.149000   0.101000: require('cmp.config.default')
  0.126200   0.457000   0.058000: require('vim.lsp.log')
  0.125700   0.180000   0.102000: /Users/okamotonaofumi/.local/share/nvim/lazy/cmp-cmdline/after/plugin/cmp_cmdline.lua
  0.125100   0.178000   0.096000: require('chowcho.selector.statusline')
  0.125100   0.173000   0.100000: require('cmp.utils.keymap')
  0.124400   0.322000   0.071000: require('telescope.mappings')
  0.124300   0.262000   0.093000: require('nio.file')
  0.124100   0.158000   0.105000: require('mason-lspconfig.api.command')
  0.123400   0.199000   0.102000: require('neotest.consumers.state')
  0.122900   0.239000   0.094000: require('luasnip.util.ext_opts')
  0.122900   0.167000   0.095000: /Users/okamotonaofumi/.local/share/nvim/lazy/cmp-emoji/after/plugin/cmp_emoji.lua
  0.122800   0.163000   0.103000: require('neotest.consumers.watch')
  0.122400   0.130000   0.118000: init highlight
  0.122300   0.381000   0.075000: require('neotest.config')
  0.121900   0.198000   0.064000: require('dial.augend.integer')
  0.121700   0.306000   0.082000: require('colorizer/trie')
  0.120500   0.247000   0.068000: require('nvim-web-devicons.default.icons_by_operating_system')
  0.120400   0.299000   0.047000: require('git-conflict.colors')
  0.120200   0.240000   0.062000: require('lazy.core.handler.event')
  0.119700   0.172000   0.074000: require('telescope.builtin')
  0.119100   0.407000   0.067000: require('toggleterm.terminal')
  0.119100   0.208000   0.092000: require('luasnip.loaders.snippet_cache')
  0.117800   0.155000   0.101000: require('fidget.notification.model')
  0.117400   0.131000   0.093000: require('mason-lspconfig.lspconfig_hook')
